ID,Limite_Credito,Sexo,Educacion,Estado_Civil,Edad,Pago_Mes_Actual,Pago_Mes_2,Pago_Mes_3,Factura_Mes_1,Factura_Mes_2,Factura_Mes_3,Pago_Realizado_Mes_1,Pago_Realizado_Mes_2,Pago_Realizado_Mes_3,Incumplimiento
58,180000,2,2,1,34,0,0,0,175886,173440,172308,8083,7296,5253,0
59,200000,2,1,2,34,-1,3,2,1587,1098,782,0,0,700,0
60,400000,2,2,1,29,0,0,0,400134,398857,404205,17000,15029,30000,0
61,500000,2,3,1,28,0,0,0,22848,23638,18878,1516,1300,1000,1
62,70000,1,2,1,39,0,0,0,70800,72060,69938,4025,2095,1000,0
63,50000,1,1,2,29,2,2,2,24987,24300,26591,0,2700,0,1
64,50000,2,2,1,46,0,0,0,28718,29166,0,1000,0,0,1
65,130000,2,2,1,51,-1,-1,-2,99,0,0,0,0,0,0
66,200000,1,1,1,57,-2,-2,-2,152519,148751,144076,0,0,8222,1
67,10000,1,2,1,56,2,2,2,2097,4193,3978,2300,0,150,1
68,210000,2,1,2,30,2,-1,-1,300,300,1159,300,1159,2280,0
69,130000,2,3,2,29,1,-2,-2,-190,-9850,-9850,0,0,20161,0
70,20000,1,5,2,22,2,0,0,18565,17204,17285,0,1200,1000,0
71,80000,1,1,2,31,-1,-1,-1,780,0,390,0,390,390,0
72,320000,1,2,2,29,2,2,2,58267,59246,60184,2500,2500,0,1
73,200000,2,2,1,32,-1,-1,-1,9076,5787,-684,5818,15,9102,0
74,290000,2,1,2,37,1,-2,-1,0,0,3155,0,3155,0,0
75,340000,1,1,2,32,-1,-1,-1,3048,5550,23337,5713,23453,4314,0
76,20000,1,2,2,24,0,0,2,14619,17216,16642,2850,0,610,0
77,50000,1,3,2,25,-1,0,0,42838,37225,36087,1759,1779,320,0
78,300000,2,1,1,45,-1,-1,-1,291,291,291,291,291,291,0
79,30000,2,2,2,22,0,0,0,28387,29612,30326,1686,1400,560,1
80,240000,2,2,2,44,1,-2,-2,0,0,0,0,0,0,1
81,470000,2,3,3,33,0,0,0,165254,157784,162702,6400,7566,3000,0
82,360000,2,1,2,26,0,0,0,23411,27796,30400,4796,3400,3100,0
83,60000,1,3,2,30,0,0,0,26324,27471,28108,1576,1213,648,1
84,400000,2,2,1,44,0,0,2,131595,139060,126819,10700,3,3050,0
85,50000,2,3,2,49,0,0,0,48909,47863,21489,1676,1302,700,0
86,160000,1,2,2,33,0,0,0,130028,107808,71934,4400,3547,80000,0
87,360000,2,1,1,45,-1,-1,2,390,1170,780,1170,0,0,1
88,160000,2,2,2,32,0,0,0,3826,4751,6604,1147,2000,2000,0
89,130000,2,1,1,35,0,0,0,81313,117866,17740,40000,5000,1330,0
90,20000,1,3,2,44,2,2,0,8583,8303,9651,0,1651,1000,0
91,200000,1,1,1,53,2,2,2,138180,140774,142460,6300,5500,5500,1
92,280000,2,1,2,39,-1,-1,-1,7524,0,3968,0,3968,0,0
93,100000,2,1,2,27,-2,-2,-2,-2000,5555,0,7555,0,0,0
94,160000,2,2,1,37,-1,-1,-1,880,1602,840,1602,840,840,0
95,60000,2,2,2,23,0,0,0,45648,46850,47214,1937,1301,682,0
96,90000,1,2,2,35,0,0,0,83725,85996,87653,3621,3597,1179,0
97,360000,1,1,1,43,-1,-1,-1,3967,8322,3394,8339,3394,12902,0
98,150000,1,1,2,27,0,0,0,86009,86108,89006,4031,10006,3266,0
99,50000,2,3,1,22,0,0,0,18722,18160,16997,1411,1194,379,0
100,20000,1,2,1,38,0,0,0,17973,19367,19559,1699,1460,626,1
101,140000,1,1,2,32,-2,-2,-2,672,10212,850,10212,850,415,0
102,380000,2,1,2,30,-2,-2,-1,-81,-303,32475,223,33178,1171,0
103,480000,1,1,1,63,0,0,0,422069,431342,479432,16078,55693,17000,0
104,50000,2,3,2,22,0,0,0,44698,42254,38347,1767,1362,1002,1
105,60000,2,2,2,26,2,2,2,56685,55208,59175,0,5000,2511,0
106,70000,2,2,2,24,-1,-1,-2,5580,0,0,0,0,0,0
107,80000,2,2,1,36,-1,-1,-1,6108,2861,3277,2861,3279,3319,0
108,350000,1,1,2,52,-1,-1,-1,713,2272,722,2272,722,867,0
109,130000,1,2,2,38,0,0,0,171438,178382,39940,10908,0,133657,0
110,360000,1,2,1,35,1,-2,-2,-103,-103,-103,0,0,0,0
111,330000,2,1,1,31,0,0,2,105879,108431,105594,9260,0,3593,0
112,50000,1,3,1,47,0,0,2,13244,14722,15181,2000,1000,1000,0
113,280000,1,2,1,41,2,2,2,135673,138532,134813,6500,0,14254,0
114,100000,2,1,2,24,0,0,0,52128,52692,54477,2000,2677,3076,0
115,50000,1,2,2,41,0,0,0,19015,19294,20259,1340,1305,700,0
116,30000,1,1,2,24,-1,2,0,18199,17618,18631,0,1312,3000,1
117,240000,1,1,2,28,-1,-1,-1,326,326,326,326,326,5676,0
118,80000,1,2,2,26,2,0,0,14029,15493,16630,2000,1700,1000,1
119,400000,1,2,1,34,-1,-1,-1,19660,9666,11867,9677,11867,7839,0
120,240000,2,2,2,38,0,0,0,50254,51445,53015,2000,3000,3000,0
121,50000,1,3,2,37,2,2,2,46004,45976,48953,1000,4035,1000,1
122,450000,1,1,1,40,1,-2,-2,0,0,0,0,0,0,1
123,110000,2,1,1,48,1,-2,-2,0,0,0,0,0,0,0
124,310000,2,2,1,35,2,0,0,304991,311243,306314,13019,11128,8407,1
125,20000,1,1,2,27,0,0,0,19115,18962,19298,1404,1130,600,0
126,20000,1,2,2,23,1,-2,-2,0,0,0,0,0,0,0
127,200000,1,3,2,52,0,0,0,110151,99530,98951,3568,3585,3602,0
128,180000,1,1,1,36,0,0,0,163736,116422,99278,4655,2690,2067,1
129,50000,1,2,1,51,0,0,0,3347,3899,4503,1000,1066,1300,1
130,60000,1,3,1,55,3,2,2,60521,61450,57244,2504,7,1200,0
131,30000,2,1,2,23,1,-2,-2,4000,5645,3508,5645,3508,27,0
132,240000,1,1,2,41,1,-1,-1,95,2622,3301,2622,3301,0,0
133,420000,1,2,1,34,0,0,0,253454,247743,229049,9744,9553,7603,0
134,330000,1,3,1,46,0,0,0,227389,228719,229644,8210,8095,8025,0
135,30000,2,2,2,22,0,0,0,28452,26145,26712,2000,1400,0,0
136,240000,1,2,1,34,0,0,0,10674,12035,13681,1500,1800,0,0
137,150000,1,1,2,27,0,0,0,17444,19342,22000,2500,3000,3000,0
138,210000,2,2,1,33,0,0,0,7166,7997,8792,1500,1500,1000,0
139,50000,2,3,1,51,-1,-1,-1,752,300,5880,300,5880,0,1
140,50000,1,1,2,24,0,0,0,50801,50143,49586,2360,1700,1000,0
141,240000,1,1,2,47,1,-2,-2,0,0,0,0,0,0,1
142,180000,1,2,2,28,-1,-1,-1,1832,0,832,0,416,332,0
143,50000,1,2,2,23,1,2,2,10131,10833,20583,1000,10000,400,0
144,170000,1,2,2,29,-2,-2,-2,12159,10000,10000,10000,10000,10000,0
145,20000,1,1,2,29,-1,-1,-1,1199,15586,344,15586,344,2340,0
146,50000,1,1,2,28,0,0,0,4999,5913,7315,1000,1500,2000,0
147,170000,2,2,2,27,0,0,0,19269,20313,20852,1661,1200,351,1
148,200000,1,1,2,34,1,2,0,197236,176192,93069,8000,5000,55500,0
149,80000,2,2,1,23,1,2,3,9168,10522,10205,1650,0,0,0
150,260000,2,1,1,60,1,-2,-1,-1100,-1100,21400,0,22500,0,0
151,140000,1,2,1,32,0,0,0,86627,78142,68336,3455,3110,5000,0
152,80000,1,1,2,25,0,0,0,42444,55744,43476,30000,3000,6000,0
153,350000,1,1,2,41,1,-1,-1,208,2906,1000,2906,1000,630,0
154,280000,2,2,1,56,0,0,0,208775,182350,132257,8042,6700,5137,0
155,30000,2,3,2,26,0,0,0,9014,10406,11427,1700,1500,1000,0
156,140000,1,1,1,34,0,0,0,23944,28049,32073,5000,5000,11885,0
157,200000,2,1,2,37,0,0,0,105420,102870,89643,4000,3250,3250,0
158,200000,2,3,2,30,0,0,0,196031,196143,189524,7300,7108,7680,0
159,210000,1,3,1,45,2,3,4,115785,122904,129847,10478,10478,11078,1
160,50000,1,3,1,57,3,2,0,12854,12362,13447,0,1600,500,0
161,30000,1,1,2,41,2,2,2,24357,27453,26718,3500,0,2200,0
162,50000,1,2,2,27,2,-1,-1,390,390,780,390,780,216,0
163,290000,1,3,1,47,-1,-1,-1,1234,396,396,396,396,792,0
164,250000,2,1,1,34,0,0,2,141223,156858,151841,17994,0,5469,0
165,60000,2,2,1,46,0,0,0,21148,23803,24908,3000,1500,1500,0
166,110000,2,1,2,27,0,0,0,101640,104795,104855,5500,3900,3000,0
167,370000,1,1,2,50,-2,-2,-2,6093,15130,8204,15383,8204,15413,0
168,100000,1,2,1,27,-1,2,2,102349,96847,58824,3166,0,1330,0
169,90000,2,2,1,35,0,0,0,72112,73854,75526,3500,3500,3652,0
170,50000,2,2,2,22,0,0,0,28040,29092,29366,1510,1442,982,0
171,270000,1,2,2,37,0,0,0,37695,33397,30534,5000,2000,3000,0
172,300000,2,1,2,30,-1,-1,-1,688,3280,0,3288,0,4340,0
173,50000,2,2,2,22,-1,0,0,8567,15273,11650,15000,1000,149,0
174,50000,2,1,2,24,1,-2,-2,-709,-709,-709,0,0,0,1
175,360000,1,1,2,29,1,-2,-1,0,0,77,0,77,0,0
176,130000,1,3,1,56,1,2,2,64617,65978,67282,3000,3000,3000,1
177,80000,1,1,2,30,-2,-1,0,6187,100,600,504,500,1000,0
178,50000,1,2,2,30,1,2,0,48860,47801,48363,0,1500,1000,0
179,20000,2,2,2,22,0,0,0,16001,12622,13221,1212,1201,500,0
180,80000,2,2,1,29,0,0,2,77883,81811,80250,5800,1000,600,0
181,240000,1,1,2,37,-1,-1,2,12212,26578,25331,15000,0,2000,0
182,80000,2,3,2,35,0,-1,0,49608,12412,14873,12500,6500,3000,0
183,500000,2,1,1,47,0,0,0,56422,110616,110340,70010,30357,30000,0
184,60000,2,2,1,24,0,0,0,58024,57891,48839,2500,1600,3000,1
185,20000,1,2,2,25,0,0,0,10642,11677,13070,1200,1593,601,0
186,100000,2,2,1,38,1,2,0,14483,13961,15323,0,1600,1500,1
187,360000,2,1,2,32,1,-1,-1,2616,57077,5287,57087,5295,68454,0
188,200000,2,3,2,47,2,2,2,199436,202947,193936,8214,7000,6800,1
189,130000,2,2,1,34,1,-1,0,0,5396,10270,5396,5000,3500,0
190,20000,2,2,2,31,1,5,4,21703,21087,21461,0,1000,0,0
191,310000,1,1,2,32,0,0,0,59901,62147,62102,10020,6031,10057,0
192,60000,2,1,2,27,2,0,0,19625,20347,21669,1342,1664,2000,1
193,180000,2,1,2,29,-1,-1,-1,11386,199,0,199,0,0,0
194,180000,2,1,2,24,-1,-1,2,14670,22087,21282,37867,0,200,0
195,50000,1,2,1,36,0,0,0,47790,18114,18250,2000,1000,2000,0
196,50000,2,1,2,24,1,2,2,36166,37188,37680,1900,1400,1700,1
197,150000,2,2,1,34,-2,-2,-2,0,0,0,0,0,116,0
198,20000,2,1,2,22,0,0,0,18553,19446,19065,1500,1032,541,0
199,500000,2,1,1,34,-2,-2,-2,412,138,2299,138,2299,1251,0
200,30000,2,3,2,22,1,2,2,29010,29256,28122,1000,85,1714,1
201,180000,2,1,1,38,-2,-2,-2,750,0,0,0,0,0,0
202,140000,1,1,2,31,0,0,2,27123,27299,17985,25000,0,3000,0
203,140000,2,1,2,26,-1,0,-1,13424,18000,13001,10000,13001,5841,0
204,120000,1,2,2,26,0,0,0,107314,110578,113736,5000,5000,4152,0
205,360000,2,2,1,48,0,0,0,226430,231878,234192,9100,7300,5800,0
206,20000,1,3,1,43,-1,-1,0,227,20351,20237,22359,1305,1258,0
207,100000,1,1,1,47,-1,-1,-1,390,1473,390,1473,390,390,0
208,210000,2,2,1,41,-1,-1,-1,3088,1586,343,1586,343,3763,1
209,80000,2,2,2,24,0,0,0,81625,81554,79599,3200,3000,2038,1
210,330000,2,1,1,50,-1,-1,-1,8872,4337,2854,4345,2854,1702,0
211,220000,1,1,2,24,0,0,0,105607,108917,111520,5000,5050,8303,0
212,210000,2,1,1,38,1,-2,-1,0,0,250,0,250,0,1
213,40000,2,3,1,43,0,0,0,38257,38901,38103,1700,1504,1200,0
214,30000,1,2,2,39,0,0,0,28347,28108,18388,3036,2309,0,0
215,470000,1,2,2,27,2,2,2,296573,303320,307843,13000,11001,0,0
216,30000,1,3,1,42,-1,-1,-1,390,390,390,390,390,240,0
217,240000,2,2,1,36,1,-2,-2,-946,-946,-946,0,0,0,1
218,80000,1,2,2,36,2,0,0,79278,78501,78534,3100,3500,3400,0
219,110000,2,3,0,31,0,0,0,89989,84229,79288,4000,5000,3000,0
220,310000,2,1,2,38,-1,-1,-1,1424,4542,126,4542,126,0,0
221,360000,2,1,1,40,2,2,2,105167,115468,112157,12000,0,5900,1
222,330000,2,3,2,45,0,0,0,335196,334954,335527,12388,12378,12116,0
223,300000,2,2,2,35,0,0,0,291619,297268,205629,12019,9006,17000,0
224,320000,2,2,2,33,0,0,0,91653,94037,108597,10042,18832,2117,0
225,50000,2,3,2,37,1,3,2,52626,51537,49205,0,24,1500,1
226,170000,2,1,2,28,0,0,0,130370,131199,128900,6530,4860,22500,0
227,350000,1,3,1,44,-1,-1,-1,3265,2686,1864,2686,1864,569,0
228,20000,1,2,1,37,0,0,0,16455,16511,18902,1609,3000,663,0
229,50000,1,2,2,23,2,0,0,49758,48456,44116,2401,2254,2004,1
230,20000,2,3,2,24,1,2,0,19154,18165,17233,0,1333,500,0
231,50000,2,1,2,24,0,0,0,35084,35796,30937,2090,2002,1002,0
232,20000,1,2,2,23,1,2,0,20235,17132,16856,0,1200,1000,1
233,50000,1,2,1,26,0,0,-2,102800,0,0,0,0,2624,0
234,190000,1,2,2,34,2,0,0,129801,131383,134379,5000,5000,10000,1
235,60000,2,2,1,33,0,0,0,58203,36367,20934,1506,1298,1000,0
236,80000,1,1,2,35,-1,-1,-1,7988,3977,6848,3983,6853,1719,0
237,150000,2,2,2,27,0,0,0,127402,110050,51547,4500,1745,1566,0
238,210000,2,1,2,31,-2,-2,-2,1440,0,7422,0,7422,893,0
239,240000,2,3,1,50,0,0,0,234205,231669,214642,10116,9150,8008,1
240,140000,2,2,3,41,0,0,0,19346,21708,22940,3000,2000,2198,1
241,60000,2,1,2,28,1,2,2,21501,20650,0,0,0,0,0
242,50000,1,1,2,39,0,0,0,47174,47974,48630,1800,2000,3000,0
243,50000,2,2,2,27,0,0,0,26655,27724,28676,1800,1750,900,0
244,180000,2,1,2,32,-1,-1,2,3139,5853,2821,2821,0,0,0
245,30000,2,1,2,40,-1,-1,2,142,215,139,355,120,0,0
246,20000,2,2,2,40,0,0,0,19816,20396,20102,1601,2203,2114,0
247,250000,2,2,1,75,0,-1,-1,52874,1631,1536,1631,1536,1010,0
248,100000,2,2,2,27,0,0,0,37767,34457,30036,1788,1799,1100,0
249,330000,1,1,2,25,0,0,0,46140,45781,48139,2504,4007,5056,0
250,50000,1,3,1,46,0,0,0,35713,15392,16099,1561,1268,587,0
251,50000,2,2,2,26,1,2,2,50867,51486,48869,1710,136,1206,0
252,30000,1,2,2,28,0,0,0,29242,29507,29155,5006,1244,851,0
253,140000,2,2,2,26,0,0,0,101551,105246,104781,5366,5087,3605,1
254,160000,2,1,2,28,0,0,0,70243,47779,28052,7042,2000,1000,0
255,400000,2,2,2,29,-1,0,-1,19532,3719,1453,3127,1469,4968,0
256,50000,1,2,1,25,0,0,0,27699,28513,29341,1565,1393,980,0
257,140000,2,2,1,48,0,-1,-1,1154,1233,862,1233,1075,1355,0
258,160000,2,2,1,33,-1,-1,-1,8015,2453,9624,2453,9880,52572,0
259,100000,2,3,1,43,0,0,-2,62170,0,0,0,0,0,0
260,220000,1,1,1,48,2,0,0,210380,213522,201852,10000,9020,6000,1
261,510000,2,1,2,29,0,0,0,78331,99414,107686,40010,20094,5000,0
262,50000,1,2,2,29,0,0,0,49276,35100,32563,1602,1400,3000,0
263,160000,2,1,1,38,-1,-1,-1,4473,4664,5969,4664,5969,18941,0
264,230000,2,1,2,37,-2,-2,-2,2283,50815,0,51315,0,0,0
265,80000,2,1,2,37,-1,-1,-1,10115,249,5986,258,5995,188,0
266,150000,2,2,1,25,-1,-1,-2,6156,0,0,0,0,316,0
267,10000,1,3,2,23,0,0,0,6974,7838,9002,1134,1298,478,0
268,130000,2,3,2,49,0,0,0,89003,91362,72197,4100,3095,1630,1
269,40000,2,1,2,48,0,0,0,34871,34449,33634,1600,1600,1500,0
270,50000,1,2,2,27,3,2,2,13694,14880,14242,1700,0,426,1
271,100000,1,3,2,32,0,0,0,70003,31545,20974,2035,2004,616,0
272,120000,1,1,1,34,-1,2,-1,1082,632,1350,0,1350,0,0
273,260000,2,1,2,58,1,-2,-2,0,0,0,0,0,0,1
274,200000,2,2,2,33,0,0,0,11253,12852,14024,2000,1322,2000,0
275,360000,2,2,2,28,-2,-2,-2,0,0,0,0,0,0,1
276,70000,2,2,2,36,0,0,0,68699,69120,68376,4483,12496,3268,0
277,460000,1,1,1,40,2,-1,-1,171,2715,-13,2728,0,2654,1
278,50000,2,1,2,26,-1,-1,-1,1156,316,316,316,316,316,0
279,50000,1,3,1,33,0,0,0,50859,50462,50654,2007,2199,691,0
280,250000,2,2,1,31,0,0,0,103109,102594,97109,4000,4500,5000,0
281,30000,2,1,2,27,0,0,-1,1512,2458,664,1000,664,1500,0
282,270000,1,2,1,44,0,0,0,127543,109189,92630,10063,5162,10150,0
283,180000,2,3,2,30,0,0,0,163935,153152,147032,7722,6091,3563,0
284,100000,2,1,2,28,0,0,0,53494,52656,52600,4173,3000,2025,0
285,230000,2,3,1,32,0,0,0,195126,88743,92195,5000,5000,5000,0
286,210000,2,1,1,46,-1,-1,-1,110346,41986,21874,41986,21874,20076,0
287,210000,1,1,2,38,2,0,0,60502,62804,62769,3276,2026,2000,0
288,440000,2,2,1,46,0,0,0,180641,181557,149944,8610,6907,3727,0
289,100000,2,2,2,25,2,0,0,70896,71678,70125,3472,2092,2000,1
290,240000,2,2,1,46,0,0,0,8751,9900,10605,1295,1000,1000,0
291,280000,1,1,2,33,-1,-1,-1,898,898,325,898,325,898,1
292,50000,2,2,2,22,1,-2,-2,0,0,0,0,0,0,1
293,30000,1,2,1,43,3,2,2,1700,2610,1914,1100,0,300,0
294,10000,1,2,2,27,0,0,2,7015,10227,9560,3507,0,500,1
295,130000,1,1,2,29,1,-2,-2,0,0,0,0,0,0,0
296,200000,1,1,2,31,0,0,0,194353,197344,186292,9000,7465,4715,0
297,120000,2,2,1,29,-1,-1,-1,1686,657,2179,657,2319,1423,0
298,210000,2,2,1,36,0,0,0,143225,142996,144415,6483,5082,6000,0
299,280000,2,1,1,36,0,0,0,58983,60788,63225,2755,3463,1300,0
300,300000,1,1,2,34,1,-2,-1,0,0,13001,0,13001,0,1
301,100000,1,2,2,37,0,0,0,99209,98222,67185,3490,2332,2314,0
302,440000,2,1,2,36,-2,-2,-2,0,0,0,0,0,0,0
303,50000,2,3,1,40,0,0,0,49941,51213,12104,2400,1206,1000,0
304,20000,2,1,2,25,0,0,2,11968,14564,27820,2800,0,4000,1
305,200000,2,1,2,27,-1,-1,-1,871,665,960,665,960,3908,0
306,110000,2,2,2,26,-2,-2,-2,432,3220,5704,3220,5904,0,0
307,500000,2,2,1,36,-1,-1,-1,10483,23956,0,23962,0,8500,0
308,300000,2,2,1,27,1,-1,-1,0,5215,0,5215,0,0,0
309,30000,1,3,1,55,2,2,2,9720,10613,11339,1200,1200,2000,1
310,60000,2,1,2,27,-1,-1,-1,20847,13801,14366,13809,14583,4889,0
311,400000,2,2,1,38,-1,0,-1,3697,3600,1354,1000,1354,5322,0
312,180000,2,2,1,34,0,0,0,143301,146333,147042,7000,5000,5000,0
313,20000,1,1,2,40,0,0,0,10934,13738,16567,3000,3100,0,0
314,200000,2,3,1,49,-1,2,2,52439,51040,56205,0,6000,0,1
315,100000,1,1,2,27,0,0,0,55734,52557,33415,1631,1286,200,0
316,60000,1,2,2,23,0,0,0,49507,33282,34312,1970,2000,618,1
317,110000,2,2,2,36,0,0,0,47819,48947,50330,2200,2500,2000,0
318,260000,2,3,1,53,1,-1,-1,0,165,526,165,526,452,0
319,50000,2,3,1,46,3,2,2,48522,50955,29516,3754,1,1070,0
320,180000,1,2,2,29,1,-2,-2,-2,-2,-2,0,0,0,0
321,110000,1,2,2,29,1,2,2,58362,56598,51908,2500,0,2000,1
322,340000,2,1,2,27,0,0,0,172180,180140,166281,21105,5461,5000,0
323,50000,1,2,2,24,-1,0,0,1399,2441,3865,1070,1500,3666,0
324,230000,2,2,1,28,0,0,0,26361,18826,1100,1710,1100,1000,1
325,360000,2,2,2,32,0,0,0,93029,94054,91834,10000,7000,10000,0
326,210000,1,2,2,43,1,-2,-1,0,0,38013,0,38013,3000,0
327,220000,2,2,1,41,-1,2,2,650,650,325,325,0,950,1
328,60000,2,2,1,34,2,2,2,24898,27976,27233,3800,0,3720,1
329,340000,1,2,1,55,-2,-1,-1,50396,44665,8300,44665,8321,2190,0
330,150000,1,1,1,40,2,2,2,99855,102586,100064,5200,0,8100,0
331,200000,2,2,1,37,1,-1,2,-179,505,189,1000,0,6900,1
332,130000,2,2,2,40,0,0,2,9559,12394,11883,3000,0,500,1
333,60000,2,1,2,28,1,2,0,10540,10232,11237,0,1483,673,0
334,400000,2,2,1,43,1,-2,-2,0,0,0,0,0,0,0
335,20000,1,1,2,27,0,0,0,20571,19089,19658,1323,1600,830,0
336,190000,2,1,2,28,0,0,0,143464,146943,151905,5795,7408,5645,0
337,260000,2,1,2,30,0,0,0,156882,160246,159988,10000,8000,6000,0
338,140000,2,2,2,31,-2,-2,-2,390,0,0,0,0,0,0
339,50000,2,2,1,31,0,0,0,46512,47716,49675,1974,4406,1061,1
340,120000,2,1,2,34,-1,-1,0,882,6531,6313,6900,5037,1100,0
341,240000,2,2,2,30,-2,-2,-2,92,92,92,92,92,0,0
342,50000,1,2,2,36,0,0,0,5916,6172,4123,1212,1200,0,0
343,200000,2,1,2,29,-1,2,-1,2393,183,4847,0,4872,20183,0
344,180000,1,1,1,39,0,0,-1,274731,281713,242063,11000,145000,26000,0
345,180000,2,1,2,26,0,0,0,145403,138232,130553,5440,5051,3835,0
346,160000,2,1,2,29,-1,-1,-2,3097,-707,-2697,0,0,5000,0
347,100000,2,2,2,26,-1,-1,-1,1370,4192,4159,4210,4159,1000,0
348,50000,2,2,2,29,0,0,0,47081,49316,50409,3000,2000,2000,1
349,140000,2,2,2,31,0,0,0,138119,137950,140254,6600,6500,5100,0
350,30000,2,2,2,26,0,0,0,17893,19012,20123,1411,1522,621,1
351,90000,1,1,2,26,0,0,-1,39128,20473,1940,1541,4200,0,0
352,200000,1,1,1,36,1,-2,-1,-14386,-13543,3432,10118,47015,0,0
353,380000,1,1,2,30,1,-2,-2,0,0,0,0,0,0,1
354,80000,2,2,2,43,0,0,0,77057,78102,58501,3177,2600,3000,0
355,50000,1,3,1,58,2,2,2,15899,18720,18122,3400,0,1000,0
